Julian Day of Year,sst
1,4.685585
2,8.894939
3,5.935128
4,5.007617
5,4.873216
6,6.156449
7,4.069606
8,2.727703
9,3.22645
10,5.055086
11,4.358052
12,4.132973
13,3.592743
14,2.874672
15,3.865008
16,2.917766
17,3.95651
18,4.680989
19,3.905265
20,3.060854
21,2.326693
22,1.331952
23,3.099374
24,2.822382
25,4.616768
26,3.844888
27,2.651096
28,3.640448
29,1.325931
30,3.465435
31,1.595173
32,0.7914443
33,2.737147
34,3.237155
35,2.662788
36,2.61567
37,3.458862
38,3.65608
39,1.253768
40,2.684558
41,1.54141
42,2.082334
43,1.83082
44,2.461884
45,2.647532
46,3.164805
47,3.013523
48,2.925396
49,2.194835
50,3.554067
51,3.609813
52,2.734757
53,1.832418
54,3.912112
55,3.869267
56,3.807329
57,6.101435
58,4.769562
59,3.706189
60,4.234349
61,3.624558
62,4.27899
63,2.992408
64,4.567926
65,4.280835
66,4.766001
67,4.774933
68,4.801514
69,4.268217
70,4.724034
71,4.446464
72,5.623845
73,5.143722
74,5.417929
75,6.669509
76,6.379159
77,5.806513
78,5.977946
79,6.169534
80,6.977106
81,6.745459
82,6.62381
83,5.995798
84,8.114981
85,7.752515
86,7.760529
87,8.186367
88,7.657745
89,8.384068
90,7.153299
91,7.831216
92,9.703504
93,10.03867
94,9.334264
95,8.742069
96,9.761202
97,10.0811
98,11.60617
99,9.679571
100,10.20882
101,9.058368
102,9.664464
103,10.60228
104,10.55337
105,10.66986
106,11.23274
107,11.58413
108,13.16595
109,11.90026
110,13.03645
111,11.51379
112,13.12331
113,12.04552
114,11.87759
115,13.10786
116,12.14587
117,13.03594
118,13.64766
119,13.61115
120,14.08579
121,13.5062
122,13.53328
123,14.67608
124,14.68615
125,17.06191
126,15.12945
127,14.32528
128,15.29869
129,15.66917
130,15.93735
131,15.58769
132,16.32907
133,15.62399
134,15.51012
135,15.7809
136,16.17466
137,17.41521
138,18.30344
139,17.34281
140,16.8764
141,16.62491
142,16.03734
143,17.24779
144,17.54083
145,19.01185
146,15.81259
147,18.05873
148,19.4308
149,20.60308
150,19.78205
151,20.85806
152,19.76044
153,19.62377
154,20.22325
155,19.71118
156,18.99016
157,20.69712
158,20.29633
159,21.25811
160,21.25614
161,21.29681
162,22.76266
163,22.51644
164,21.66458
165,22.50956
166,21.19866
167,21.49361
168,22.54533
169,21.86484
170,22.28971
171,23.7664
172,22.27914
173,23.69492
174,22.4145
175,22.89551
176,24.31023
177,24.22901
178,23.34465
179,23.90747
180,23.89358
181,24.74965
182,24.20345
183,24.43059
184,24.7379
185,25.26059
186,24.4606
187,25.60528
188,24.86095
189,24.83296
190,25.19744
191,24.70662
192,25.58047
193,25.12481
194,24.79733
195,24.53366
196,25.14653
197,25.66744
198,25.90594
199,26.82087
200,25.93712
201,25.93592
202,25.75525
203,27.14049
204,25.53829
205,25.72382
206,26.14697
207,25.54461
208,26.49006
209,24.93412
210,26.21423
211,25.49145
212,25.91088
213,26.04848
214,26.72627
215,25.83417
216,26.17582
217,26.28843
218,25.15944
219,25.85787
220,25.5734
221,25.65813
222,25.91392
223,26.43911
224,25.81666
225,26.50789
226,25.88388
227,26.26387
228,26.05401
229,25.62234
230,25.99589
231,25.77422
232,25.59625
233,25.52189
234,24.93727
235,25.50154
236,24.80609
237,25.03551
238,24.94826
239,25.45169
240,24.97517
241,24.838
242,25.24259
243,25.43266
244,25.3568
245,25.30088
246,24.9194
247,24.60985
248,24.45038
249,24.82706
250,24.30125
251,24.87663
252,23.47032
253,23.77618
254,23.73091
255,24.65539
256,24.30042
257,24.06634
258,23.51587
259,23.39614
260,23.49913
261,22.93378
262,22.50751
263,22.43093
264,23.21475
265,22.8985
266,22.6596
267,22.74774
268,22.44254
269,21.99398
270,22.27303
271,22.28652
272,22.13089
273,21.43162
274,21.65422
275,21.69273
276,20.78053
277,20.55628
278,20.58766
279,20.14143
280,19.88276
281,19.49519
282,18.99663
283,19.73462
284,18.73928
285,18.86864
286,18.7728
287,19.11052
288,18.72256
289,18.12124
290,18.51093
291,18.17217
292,18.31155
293,17.49561
294,17.52203
295,17.61864
296,16.72021
297,17.19511
298,16.1762
299,16.05814
300,16.50588
301,15.98713
302,15.90205
303,15.68124
304,15.1586
305,14.82907
306,14.71723
307,15.08956
308,15.49223
309,14.53855
310,13.74922
311,13.64918
312,13.78684
313,12.84835
314,13.03587
315,12.26213
316,12.6757
317,12.72681
318,11.56949
319,12.21729
320,13.24267
321,12.37548
322,12.20779
323,11.36701
324,11.90712
325,11.0078
326,11.3547
327,10.14316
328,11.17385
329,10.71988
330,9.9469
331,9.559129
332,9.858091
333,9.840599
334,9.740952
335,10.01146
336,10.32809
337,8.577854
338,9.824075
339,10.37623
340,8.647249
341,8.887958
342,8.880502
343,8.49819
344,8.591927
345,8.168951
346,6.060376
347,7.012487
348,7.528189
349,7.099587
350,6.182329
351,5.525701
352,6.67079
353,7.000105
354,5.523008
355,5.012143
356,4.366814
357,5.997853
358,6.114369
359,5.283624
360,5.60062
361,4.602884
362,4.638908
363,4.425722
364,6.203207
365,5.340891
