"","climate_shock","scenario","recovery_time_cat","optimized","climate_shock_labels","summer"
"1","apr_aug",1,"3–12","Optimized fishing, status quo policy","Apr-Aug","Summer"
"2","apr_aug",9,"60–100","No fishing","Apr-Aug","Summer"
"3","apr_aug",10,"No recovery","No fishing","Apr-Aug","Summer"
"4","apr_aug",8,"36–60","Optimized fishing, status quo policy","Apr-Aug","Summer"
"5","apr_aug",5,"12–24","Optimized fishing, status quo policy","Apr-Aug","Summer"
"6","apr_aug",2,"3–12","Optimized fishing, status quo policy","Apr-Aug","Summer"
"7","apr_aug",1,"3–12","No fishing","Apr-Aug","Summer"
"8","apr_aug",2,"12–24","No fishing","Apr-Aug","Summer"
"9","apr_aug",6,"3–12","Optimized fishing, status quo policy","Apr-Aug","Summer"
"10","apr_aug",4,"12–24","No fishing","Apr-Aug","Summer"
"11","apr_aug",5,"3–12","No fishing","Apr-Aug","Summer"
"12","apr_aug",6,"12–24","No fishing","Apr-Aug","Summer"
"13","apr_aug",4,"60–100","Optimized fishing, status quo policy","Apr-Aug","Summer"
"14","apr_aug",8,"36–60","No fishing","Apr-Aug","Summer"
"15","apr_aug",7,"24–36","Optimized fishing, status quo policy","Apr-Aug","Summer"
"16","apr_aug",3,"60–100","Optimized fishing, status quo policy","Apr-Aug","Summer"
"17","apr_aug",9,"No recovery","Optimized fishing, status quo policy","Apr-Aug","Summer"
"18","apr_aug",3,"3–12","No fishing","Apr-Aug","Summer"
"19","apr_aug",7,"24–36","No fishing","Apr-Aug","Summer"
"20","apr_aug",10,"No recovery","Optimized fishing, status quo policy","Apr-Aug","Summer"
"21","august",1,"3–12","No fishing","August","Summer"
"22","august",7,"36–60","Optimized fishing, status quo policy","August","Summer"
"23","august",5,"3–12","No fishing","August","Summer"
"24","august",4,"12–24","No fishing","August","Summer"
"25","august",3,"3–12","Optimized fishing, status quo policy","August","Summer"
"26","august",8,"60–100","Optimized fishing, status quo policy","August","Summer"
"27","august",5,"3–12","Optimized fishing, status quo policy","August","Summer"
"28","august",1,"36–60","Optimized fishing, status quo policy","August","Summer"
"29","august",2,"3–12","No fishing","August","Summer"
"30","august",2,"24–36","Optimized fishing, status quo policy","August","Summer"
"31","august",6,"3–12","No fishing","August","Summer"
"32","august",6,"3–12","Optimized fishing, status quo policy","August","Summer"
"33","august",9,"36–60","Optimized fishing, status quo policy","August","Summer"
"34","august",8,"36–60","No fishing","August","Summer"
"35","august",10,"36–60","No fishing","August","Summer"
"36","august",4,"3–12","Optimized fishing, status quo policy","August","Summer"
"37","august",10,"No recovery","Optimized fishing, status quo policy","August","Summer"
"38","august",3,"3–12","No fishing","August","Summer"
"39","august",9,"36–60","No fishing","August","Summer"
"40","august",7,"36–60","No fishing","August","Summer"
"41","fall",4,"3–12","No fishing","Sep-Nov","Other"
"42","fall",10,"No recovery","Optimized fishing, status quo policy","Sep-Nov","Other"
"43","fall",5,"3–12","No fishing","Sep-Nov","Other"
"44","fall",8,"24–36","Optimized fishing, status quo policy","Sep-Nov","Other"
"45","fall",1,"12–24","Optimized fishing, status quo policy","Sep-Nov","Other"
"46","fall",8,"24–36","No fishing","Sep-Nov","Other"
"47","fall",7,"24–36","Optimized fishing, status quo policy","Sep-Nov","Other"
"48","fall",2,"24–36","Optimized fishing, status quo policy","Sep-Nov","Other"
"49","fall",6,"3–12","No fishing","Sep-Nov","Other"
"50","fall",6,"3–12","Optimized fishing, status quo policy","Sep-Nov","Other"
"51","fall",9,"36–60","Optimized fishing, status quo policy","Sep-Nov","Other"
"52","fall",3,"3–12","No fishing","Sep-Nov","Other"
"53","fall",3,"3–12","Optimized fishing, status quo policy","Sep-Nov","Other"
"54","fall",4,"No recovery","Optimized fishing, status quo policy","Sep-Nov","Other"
"55","fall",2,"3–12","No fishing","Sep-Nov","Other"
"56","fall",9,"24–36","No fishing","Sep-Nov","Other"
