"","type","climate_shock_labels","scenario","months_saved_bin","policy","summer"
"1","stock","Apr-Aug",3,">36 months faster","No fishing males","Summer"
"2","stock","Apr-Aug",3,">36 months faster","No fishing females","Summer"
"3","stock","Apr-Aug",6,"≤12 months faster","No fishing females","Summer"
"4","stock","Apr-Aug",6,"≤12 months faster","Full closure","Summer"
"5","stock","Apr-Aug",4,">36 months faster","No fishing females","Summer"
"6","stock","Apr-Aug",4,">36 months faster","No fishing males","Summer"
"7","stock","Apr-Aug",7,"≤12 months faster","Increase male size limit","Summer"
"8","stock","Apr-Aug",7,"≤12 months slower","Full closure","Summer"
"9","stock","Apr-Aug",3,">36 months faster","Increase male size limit","Summer"
"10","stock","Apr-Aug",5,"≤12 months faster","No fishing males","Summer"
"11","stock","Apr-Aug",5,"≤36 months slower","Increase male size limit","Summer"
"12","stock","Apr-Aug",1,"No difference","No fishing males","Summer"
"13","stock","Apr-Aug",6,"≤12 months slower","Increase male size limit","Summer"
"14","stock","Apr-Aug",6,"≤12 months faster","No fishing males","Summer"
"15","stock","Apr-Aug",1,"No difference","Full closure","Summer"
"16","stock","Apr-Aug",1,"No difference","No fishing females","Summer"
"17","stock","Apr-Aug",8,"≤36 months slower","Increase male size limit","Summer"
"18","stock","Apr-Aug",8,"≤12 months slower","Full closure","Summer"
"19","stock","Apr-Aug",8,"≤36 months slower","No fishing females","Summer"
"20","stock","Apr-Aug",1,"≤36 months slower","Increase male size limit","Summer"
"21","stock","Apr-Aug",5,"≤36 months faster","No fishing females","Summer"
"22","stock","Apr-Aug",8,"≤36 months slower","No fishing males","Summer"
"23","stock","Apr-Aug",10,"No recovery with policy
or status quo","Full closure","Summer"
"24","stock","Apr-Aug",10,"No recovery with policy
or status quo","No fishing females","Summer"
"25","stock","Apr-Aug",10,"No recovery with policy
or status quo","Increase male size limit","Summer"
"26","stock","Apr-Aug",3,">36 months faster","Full closure","Summer"
"27","stock","Apr-Aug",9,"No recovery with policy
or status quo","No fishing males","Summer"
"28","stock","Apr-Aug",9,"No recovery with policy
or status quo","Increase male size limit","Summer"
"29","stock","Apr-Aug",9,"Recovers with policy
but not under status quo","Full closure","Summer"
"30","stock","Apr-Aug",2,"No difference","No fishing females","Summer"
"31","stock","Apr-Aug",10,"Recovers with policy
but not under status quo","No fishing males","Summer"
"32","stock","Apr-Aug",9,"No recovery with policy
or status quo","No fishing females","Summer"
"33","stock","Apr-Aug",4,">36 months faster","Increase male size limit","Summer"
"34","stock","Apr-Aug",2,"≤12 months slower","No fishing males","Summer"
"35","stock","Apr-Aug",5,"≤12 months faster","Full closure","Summer"
"36","stock","Apr-Aug",2,"≤12 months slower","Full closure","Summer"
"37","stock","Apr-Aug",7,"≤36 months slower","No fishing females","Summer"
"38","stock","Apr-Aug",4,">36 months faster","Full closure","Summer"
"39","stock","Apr-Aug",7,"≤12 months slower","No fishing males","Summer"
"40","stock","Apr-Aug",2,"≤36 months slower","Increase male size limit","Summer"
"41","stock","Sep-Nov",3,"≤36 months slower","Increase male size limit","Other"
