"","policy_length","temp_band","threshold","pr_recovery","se"
"1",0,"Delta*T==1*'-'*7*degree*C","6",0.179487179487179,0.0354785997718134
"2",0,"Delta*T==8*'-'*10*degree*C","6",0,0
"3",6,"Delta*T==1*'-'*7*degree*C","6",0.390957446808511,0.0251648670998453
"4",6,"Delta*T==8*'-'*10*degree*C","6",0.0792079207920792,0.0268722732581032
"5",12,"Delta*T==1*'-'*7*degree*C","6",0.362666666666667,0.0248268432980947
"6",12,"Delta*T==8*'-'*10*degree*C","6",0.0721649484536082,0.0262731819421226
"7",18,"Delta*T==1*'-'*7*degree*C","6",0.358288770053476,0.0247942294965783
"8",18,"Delta*T==8*'-'*10*degree*C","6",0.0740740740740741,0.0252005117570286
"9",24,"Delta*T==1*'-'*7*degree*C","6",0.407506702412869,0.0254422012206682
"10",24,"Delta*T==8*'-'*10*degree*C","6",0.0458715596330275,0.0200383484756542
"11",30,"Delta*T==1*'-'*7*degree*C","6",0.378306878306878,0.0249438938744654
"12",30,"Delta*T==8*'-'*10*degree*C","6",0.0458715596330275,0.0200383484756542
"13",36,"Delta*T==1*'-'*7*degree*C","6",0.347593582887701,0.0246240330857695
"14",36,"Delta*T==8*'-'*10*degree*C","6",0.0336134453781513,0.016521842346442
"15",42,"Delta*T==1*'-'*7*degree*C","6",0.383098591549296,0.0258017392525585
"16",42,"Delta*T==8*'-'*10*degree*C","6",0.0285714285714286,0.0162583610843969
"17",48,"Delta*T==1*'-'*7*degree*C","6",0.458791208791209,0.0261179612489136
"18",48,"Delta*T==8*'-'*10*degree*C","6",0.073394495412844,0.0249784757719389
"19",54,"Delta*T==1*'-'*7*degree*C","6",0.405479452054795,0.0256993079175583
"20",54,"Delta*T==8*'-'*10*degree*C","6",0.0446428571428571,0.0195141597969314
"21",60,"Delta*T==1*'-'*7*degree*C","6",0.382271468144044,0.0255759145260188
"22",60,"Delta*T==8*'-'*10*degree*C","6",0.076271186440678,0.0244349521402925
"23",66,"Delta*T==1*'-'*7*degree*C","6",0.404891304347826,0.0255884195960228
"24",66,"Delta*T==8*'-'*10*degree*C","6",0.043859649122807,0.0191796630921948
"25",72,"Delta*T==1*'-'*7*degree*C","6",0.336021505376344,0.0244900162509199
"26",72,"Delta*T==8*'-'*10*degree*C","6",0.0840336134453782,0.0254327198201684
"27",78,"Delta*T==1*'-'*7*degree*C","6",0.402739726027397,0.0256712855475217
"28",78,"Delta*T==8*'-'*10*degree*C","6",0.0583333333333333,0.0213952010887869
"29",84,"Delta*T==1*'-'*7*degree*C","6",0.404371584699454,0.0256529595533255
"30",84,"Delta*T==8*'-'*10*degree*C","6",0.0634920634920635,0.0217235190675736
"31",0,"Delta*T==1*'-'*7*degree*C","12",0.264957264957265,0.0407991654749192
"32",0,"Delta*T==8*'-'*10*degree*C","12",0,0
"33",6,"Delta*T==1*'-'*7*degree*C","12",0.606382978723404,0.0251951247942685
"34",6,"Delta*T==8*'-'*10*degree*C","12",0.118811881188119,0.0321961220954749
"35",12,"Delta*T==1*'-'*7*degree*C","12",0.618666666666667,0.0250821701465256
"36",12,"Delta*T==8*'-'*10*degree*C","12",0.123711340206186,0.0334304701606269
"37",18,"Delta*T==1*'-'*7*degree*C","12",0.633689839572192,0.0249130588136484
"38",18,"Delta*T==8*'-'*10*degree*C","12",0.12962962962963,0.0323215598197634
"39",24,"Delta*T==1*'-'*7*degree*C","12",0.621983914209115,0.0251067386078596
"40",24,"Delta*T==8*'-'*10*degree*C","12",0.110091743119266,0.0299803530798268
"41",30,"Delta*T==1*'-'*7*degree*C","12",0.584656084656085,0.0253459318783041
"42",30,"Delta*T==8*'-'*10*degree*C","12",0.073394495412844,0.0249784757719389
"43",36,"Delta*T==1*'-'*7*degree*C","12",0.609625668449198,0.0252253062826
"44",36,"Delta*T==8*'-'*10*degree*C","12",0.100840336134454,0.0276033676460176
"45",42,"Delta*T==1*'-'*7*degree*C","12",0.597183098591549,0.0260311538893626
