"","policy","policy_length","climate_shock_labels","scenario","temp_band","cost_effective"
"1","Increase male size limit",6,"Apr-Aug",1,"Delta*T==1*'-'*7*degree*C",NA
"2","Increase male size limit",12,"Apr-Aug",1,"Delta*T==1*'-'*7*degree*C",NA
"3","Increase male size limit",18,"Apr-Aug",1,"Delta*T==1*'-'*7*degree*C",NA
"4","Increase male size limit",24,"Apr-Aug",1,"Delta*T==1*'-'*7*degree*C",NA
"5","Increase male size limit",30,"Apr-Aug",1,"Delta*T==1*'-'*7*degree*C",NA
"6","Increase male size limit",36,"Apr-Aug",1,"Delta*T==1*'-'*7*degree*C",NA
"7","Increase male size limit",42,"Apr-Aug",1,"Delta*T==1*'-'*7*degree*C",NA
"8","Increase male size limit",48,"Apr-Aug",1,"Delta*T==1*'-'*7*degree*C",NA
"9","Increase male size limit",54,"Apr-Aug",1,"Delta*T==1*'-'*7*degree*C",NA
"10","Increase male size limit",60,"Apr-Aug",1,"Delta*T==1*'-'*7*degree*C",NA
"11","Increase male size limit",66,"Apr-Aug",1,"Delta*T==1*'-'*7*degree*C",NA
"12","Increase male size limit",72,"Apr-Aug",1,"Delta*T==1*'-'*7*degree*C",NA
"13","Increase male size limit",78,"Apr-Aug",1,"Delta*T==1*'-'*7*degree*C",NA
"14","Increase male size limit",84,"Apr-Aug",1,"Delta*T==1*'-'*7*degree*C",NA
"15","Increase male size limit",6,"August",1,"Delta*T==1*'-'*7*degree*C",464.040309164389
"16","Increase male size limit",12,"August",1,"Delta*T==1*'-'*7*degree*C",601.5093785591
"17","Increase male size limit",18,"August",1,"Delta*T==1*'-'*7*degree*C",864.703348056879
"18","Increase male size limit",24,"August",1,"Delta*T==1*'-'*7*degree*C",NA
"19","Increase male size limit",30,"August",1,"Delta*T==1*'-'*7*degree*C",6073.35795509774
"20","Increase male size limit",36,"August",1,"Delta*T==1*'-'*7*degree*C",NA
"21","Increase male size limit",42,"August",1,"Delta*T==1*'-'*7*degree*C",NA
"22","Increase male size limit",48,"August",1,"Delta*T==1*'-'*7*degree*C",NA
"23","Increase male size limit",54,"August",1,"Delta*T==1*'-'*7*degree*C",NA
"24","Increase male size limit",60,"August",1,"Delta*T==1*'-'*7*degree*C",NA
"25","Increase male size limit",66,"August",1,"Delta*T==1*'-'*7*degree*C",NA
"26","Increase male size limit",72,"August",1,"Delta*T==1*'-'*7*degree*C",NA
"27","Increase male size limit",78,"August",1,"Delta*T==1*'-'*7*degree*C",NA
"28","Increase male size limit",84,"August",1,"Delta*T==1*'-'*7*degree*C",NA
"29","Increase male size limit",6,"Dec-Feb",1,"Delta*T==1*'-'*7*degree*C",651.806546160905
"30","Increase male size limit",12,"Dec-Feb",1,"Delta*T==1*'-'*7*degree*C",1643.38406847059
"31","Increase male size limit",18,"Dec-Feb",1,"Delta*T==1*'-'*7*degree*C",6598.40904816859
"32","Increase male size limit",24,"Dec-Feb",1,"Delta*T==1*'-'*7*degree*C",NA
"33","Increase male size limit",30,"Dec-Feb",1,"Delta*T==1*'-'*7*degree*C",NA
