"","policy_length","cost_effective","policy","scenario","temp_band"
"1",0,0,NA,8,"Delta*T==8*'-'*10*degree*C"
"2",0,0,NA,9,"Delta*T==8*'-'*10*degree*C"
"3",0,0,NA,10,"Delta*T==8*'-'*10*degree*C"
"4",6,11875.9401413334,"Increase male size limit",8,"Delta*T==8*'-'*10*degree*C"
"5",6,14274.4330014303,"Increase male size limit",9,"Delta*T==8*'-'*10*degree*C"
"6",6,16754.8785997351,"Increase male size limit",10,"Delta*T==8*'-'*10*degree*C"
"7",12,12519.3876453764,"Increase male size limit",8,"Delta*T==8*'-'*10*degree*C"
"8",12,16768.4437543797,"Increase male size limit",9,"Delta*T==8*'-'*10*degree*C"
"9",12,18419.7776797194,"Increase male size limit",10,"Delta*T==8*'-'*10*degree*C"
"10",18,11951.84673135,"Increase male size limit",8,"Delta*T==8*'-'*10*degree*C"
"11",18,14442.5092651584,"Increase male size limit",9,"Delta*T==8*'-'*10*degree*C"
"12",18,18433.1844837282,"Increase male size limit",10,"Delta*T==8*'-'*10*degree*C"
"13",24,14601.1868591372,"Increase male size limit",8,"Delta*T==8*'-'*10*degree*C"
"14",24,14568.1462398869,"Increase male size limit",9,"Delta*T==8*'-'*10*degree*C"
"15",24,16635.0227668064,"Increase male size limit",10,"Delta*T==8*'-'*10*degree*C"
"16",30,12574.2055794481,"Increase male size limit",8,"Delta*T==8*'-'*10*degree*C"
"17",30,17113.4997489834,"Increase male size limit",9,"Delta*T==8*'-'*10*degree*C"
"18",30,18515.8620586773,"Increase male size limit",10,"Delta*T==8*'-'*10*degree*C"
"19",36,12810.8505305995,"Increase male size limit",8,"Delta*T==8*'-'*10*degree*C"
"20",36,13606.0638496414,"Increase male size limit",9,"Delta*T==8*'-'*10*degree*C"
"21",36,16134.0828771098,"Increase male size limit",10,"Delta*T==8*'-'*10*degree*C"
"22",42,12498.647935751,"Increase male size limit",8,"Delta*T==8*'-'*10*degree*C"
"23",42,16885.9434469197,"Increase male size limit",9,"Delta*T==8*'-'*10*degree*C"
"24",42,16771.9077519835,"Increase male size limit",10,"Delta*T==8*'-'*10*degree*C"
"25",48,12086.1974564078,"Increase male size limit",8,"Delta*T==8*'-'*10*degree*C"
"26",48,16158.1607684539,"Increase male size limit",9,"Delta*T==8*'-'*10*degree*C"
"27",48,20582.0070952989,"Increase male size limit",10,"Delta*T==8*'-'*10*degree*C"
"28",54,14216.3662911511,"Increase male size limit",8,"Delta*T==8*'-'*10*degree*C"
"29",54,11471.0472121307,"Increase male size limit",9,"Delta*T==8*'-'*10*degree*C"
"30",54,17702.7144849653,"Increase male size limit",10,"Delta*T==8*'-'*10*degree*C"
"31",60,11237.5013785609,"Increase male size limit",8,"Delta*T==8*'-'*10*degree*C"
"32",60,12438.5955373565,"Increase male size limit",9,"Delta*T==8*'-'*10*degree*C"
"33",60,18269.1861588128,"Increase male size limit",10,"Delta*T==8*'-'*10*degree*C"
"34",66,11799.57902704,"Increase male size limit",8,"Delta*T==8*'-'*10*degree*C"
"35",66,22281.9818470625,"Increase male size limit",9,"Delta*T==8*'-'*10*degree*C"
"36",66,30380.170933393,"Increase male size limit",10,"Delta*T==8*'-'*10*degree*C"
"37",72,13694.5957367936,"Increase male size limit",8,"Delta*T==8*'-'*10*degree*C"
"38",72,18815.6107715075,"Increase male size limit",9,"Delta*T==8*'-'*10*degree*C"
"39",72,18392.1364286953,"Increase male size limit",10,"Delta*T==8*'-'*10*degree*C"
"40",78,16293.2736219508,"Increase male size limit",8,"Delta*T==8*'-'*10*degree*C"
"41",78,22894.62839084,"Increase male size limit",9,"Delta*T==8*'-'*10*degree*C"
"42",78,22715.4413133899,"Increase male size limit",10,"Delta*T==8*'-'*10*degree*C"
"43",84,44547.9854350436,"Increase male size limit",8,"Delta*T==8*'-'*10*degree*C"
"44",84,51463.5903692174,"Increase male size limit",9,"Delta*T==8*'-'*10*degree*C"
"45",84,22066.3375361054,"Increase male size limit",10,"Delta*T==8*'-'*10*degree*C"
"46",6,14136.5619793408,"No fishing females",8,"Delta*T==8*'-'*10*degree*C"
"47",6,14002.1883557775,"No fishing females",9,"Delta*T==8*'-'*10*degree*C"
"48",6,14326.9364882209,"No fishing females",10,"Delta*T==8*'-'*10*degree*C"
"49",12,13404.8169884843,"No fishing females",8,"Delta*T==8*'-'*10*degree*C"
"50",12,15435.7213013682,"No fishing females",9,"Delta*T==8*'-'*10*degree*C"
"51",12,17872.804343396,"No fishing females",10,"Delta*T==8*'-'*10*degree*C"
"52",18,14392.5283980979,"No fishing females",8,"Delta*T==8*'-'*10*degree*C"
"53",18,14397.3327766703,"No fishing females",9,"Delta*T==8*'-'*10*degree*C"
"54",18,16152.4833904879,"No fishing females",10,"Delta*T==8*'-'*10*degree*C"
"55",24,12560.74883062,"No fishing females",8,"Delta*T==8*'-'*10*degree*C"
"56",24,14034.8553216823,"No fishing females",9,"Delta*T==8*'-'*10*degree*C"
"57",24,15635.0083100689,"No fishing females",10,"Delta*T==8*'-'*10*degree*C"
"58",30,13260.9068659228,"No fishing females",8,"Delta*T==8*'-'*10*degree*C"
"59",30,16992.6088690139,"No fishing females",9,"Delta*T==8*'-'*10*degree*C"
"60",30,16243.1803096754,"No fishing females",10,"Delta*T==8*'-'*10*degree*C"
"61",36,14101.1139666958,"No fishing females",8,"Delta*T==8*'-'*10*degree*C"
"62",36,13361.5101032514,"No fishing females",9,"Delta*T==8*'-'*10*degree*C"
"63",36,14590.0880864466,"No fishing females",10,"Delta*T==8*'-'*10*degree*C"
"64",42,14401.221035255,"No fishing females",8,"Delta*T==8*'-'*10*degree*C"
"65",42,15088.6665170045,"No fishing females",9,"Delta*T==8*'-'*10*degree*C"
"66",42,16065.4641066623,"No fishing females",10,"Delta*T==8*'-'*10*degree*C"
"67",48,13151.4188695852,"No fishing females",8,"Delta*T==8*'-'*10*degree*C"
"68",48,12321.1352823603,"No fishing females",9,"Delta*T==8*'-'*10*degree*C"
"69",48,18623.5458935355,"No fishing females",10,"Delta*T==8*'-'*10*degree*C"
"70",54,14787.6091426505,"No fishing females",8,"Delta*T==8*'-'*10*degree*C"
"71",54,15197.2210773996,"No fishing females",9,"Delta*T==8*'-'*10*degree*C"
"72",54,15089.2686529672,"No fishing females",10,"Delta*T==8*'-'*10*degree*C"
"73",60,13505.6257554106,"No fishing females",8,"Delta*T==8*'-'*10*degree*C"
"74",60,13376.3094654428,"No fishing females",9,"Delta*T==8*'-'*10*degree*C"
"75",60,14677.5814499438,"No fishing females",10,"Delta*T==8*'-'*10*degree*C"
"76",66,13948.7992301976,"No fishing females",8,"Delta*T==8*'-'*10*degree*C"
"77",66,12133.2888722949,"No fishing females",9,"Delta*T==8*'-'*10*degree*C"
"78",66,19183.7944452769,"No fishing females",10,"Delta*T==8*'-'*10*degree*C"
"79",72,14682.84620734,"No fishing females",8,"Delta*T==8*'-'*10*degree*C"
"80",72,14013.7814843868,"No fishing females",9,"Delta*T==8*'-'*10*degree*C"
"81",72,14072.7311982229,"No fishing females",10,"Delta*T==8*'-'*10*degree*C"
"82",78,14508.9993109572,"No fishing females",8,"Delta*T==8*'-'*10*degree*C"
"83",78,13260.3436768093,"No fishing females",9,"Delta*T==8*'-'*10*degree*C"
"84",78,16414.1517431135,"No fishing females",10,"Delta*T==8*'-'*10*degree*C"
"85",84,14520.3476865366,"No fishing females",8,"Delta*T==8*'-'*10*degree*C"
"86",84,13859.5383864997,"No fishing females",9,"Delta*T==8*'-'*10*degree*C"
"87",84,16439.3866375771,"No fishing females",10,"Delta*T==8*'-'*10*degree*C"
"88",6,18419.4568741482,"No fishing males",8,"Delta*T==8*'-'*10*degree*C"
"89",6,25635.2211051513,"No fishing males",9,"Delta*T==8*'-'*10*degree*C"
"90",6,35975.4401862751,"No fishing males",10,"Delta*T==8*'-'*10*degree*C"
"91",12,23315.7701692584,"No fishing males",8,"Delta*T==8*'-'*10*degree*C"
"92",12,45756.6928302315,"No fishing males",9,"Delta*T==8*'-'*10*degree*C"
"93",12,26437.2452876888,"No fishing males",10,"Delta*T==8*'-'*10*degree*C"
"94",18,26627.3434339739,"No fishing males",8,"Delta*T==8*'-'*10*degree*C"
"95",18,33484.8778546701,"No fishing males",9,"Delta*T==8*'-'*10*degree*C"
"96",18,28665.8108992561,"No fishing males",10,"Delta*T==8*'-'*10*degree*C"
"97",24,28458.834782441,"No fishing males",8,"Delta*T==8*'-'*10*degree*C"
"98",24,35941.9852555133,"No fishing males",9,"Delta*T==8*'-'*10*degree*C"
"99",24,26821.5554670553,"No fishing males",10,"Delta*T==8*'-'*10*degree*C"
"100",30,27210.0675851518,"No fishing males",8,"Delta*T==8*'-'*10*degree*C"
"101",30,34562.5162206664,"No fishing males",9,"Delta*T==8*'-'*10*degree*C"
"102",30,28242.1101418631,"No fishing males",10,"Delta*T==8*'-'*10*degree*C"
"103",36,28276.8962365731,"No fishing males",8,"Delta*T==8*'-'*10*degree*C"
"104",36,16032.8321653243,"No fishing males",9,"Delta*T==8*'-'*10*degree*C"
"105",36,16031.2340785762,"No fishing males",10,"Delta*T==8*'-'*10*degree*C"
"106",42,16994.7392290886,"No fishing males",8,"Delta*T==8*'-'*10*degree*C"
"107",42,16371.6991377941,"No fishing males",9,"Delta*T==8*'-'*10*degree*C"
"108",42,15189.6454456657,"No fishing males",10,"Delta*T==8*'-'*10*degree*C"
"109",48,18511.191536907,"No fishing males",8,"Delta*T==8*'-'*10*degree*C"
"110",48,15137.2380537539,"No fishing males",9,"Delta*T==8*'-'*10*degree*C"
"111",48,18347.3537532446,"No fishing males",10,"Delta*T==8*'-'*10*degree*C"
"112",54,17292.2530722316,"No fishing males",8,"Delta*T==8*'-'*10*degree*C"
"113",54,14035.5532752088,"No fishing males",9,"Delta*T==8*'-'*10*degree*C"
"114",54,19187.3181048895,"No fishing males",10,"Delta*T==8*'-'*10*degree*C"
"115",60,16820.9426929458,"No fishing males",8,"Delta*T==8*'-'*10*degree*C"
"116",60,20022.8453957756,"No fishing males",9,"Delta*T==8*'-'*10*degree*C"
"117",60,20668.9369076359,"No fishing males",10,"Delta*T==8*'-'*10*degree*C"
"118",66,17222.1021389945,"No fishing males",8,"Delta*T==8*'-'*10*degree*C"
"119",66,14495.9032668441,"No fishing males",9,"Delta*T==8*'-'*10*degree*C"
"120",66,20670.2958887122,"No fishing males",10,"Delta*T==8*'-'*10*degree*C"
"121",72,17974.3191223999,"No fishing males",8,"Delta*T==8*'-'*10*degree*C"
"122",72,23350.0081386322,"No fishing males",9,"Delta*T==8*'-'*10*degree*C"
"123",72,14443.9669485658,"No fishing males",10,"Delta*T==8*'-'*10*degree*C"
"124",78,18299.9753461657,"No fishing males",8,"Delta*T==8*'-'*10*degree*C"
"125",78,15957.3503690105,"No fishing males",9,"Delta*T==8*'-'*10*degree*C"
"126",78,20438.3925793816,"No fishing males",10,"Delta*T==8*'-'*10*degree*C"
"127",84,18977.1680773278,"No fishing males",8,"Delta*T==8*'-'*10*degree*C"
"128",84,16972.5589129772,"No fishing males",9,"Delta*T==8*'-'*10*degree*C"
"129",84,22086.5072991992,"No fishing males",10,"Delta*T==8*'-'*10*degree*C"
"130",6,15170.1617571533,"Full closure",8,"Delta*T==8*'-'*10*degree*C"
"131",6,18462.2015083523,"Full closure",9,"Delta*T==8*'-'*10*degree*C"
"132",6,18825.6761902446,"Full closure",10,"Delta*T==8*'-'*10*degree*C"
"133",12,15037.2564047388,"Full closure",8,"Delta*T==8*'-'*10*degree*C"
"134",12,17939.3851128032,"Full closure",9,"Delta*T==8*'-'*10*degree*C"
"135",12,18408.8375859157,"Full closure",10,"Delta*T==8*'-'*10*degree*C"
"136",18,14061.442317226,"Full closure",8,"Delta*T==8*'-'*10*degree*C"
"137",18,13530.7841249203,"Full closure",9,"Delta*T==8*'-'*10*degree*C"
"138",18,17383.9630975465,"Full closure",10,"Delta*T==8*'-'*10*degree*C"
"139",24,14998.331529754,"Full closure",8,"Delta*T==8*'-'*10*degree*C"
"140",24,17273.2026057859,"Full closure",9,"Delta*T==8*'-'*10*degree*C"
"141",24,15946.5486892327,"Full closure",10,"Delta*T==8*'-'*10*degree*C"
"142",30,15675.8744623829,"Full closure",8,"Delta*T==8*'-'*10*degree*C"
"143",30,16634.5519549078,"Full closure",9,"Delta*T==8*'-'*10*degree*C"
"144",30,21026.9531183495,"Full closure",10,"Delta*T==8*'-'*10*degree*C"
"145",36,17703.1552213201,"Full closure",8,"Delta*T==8*'-'*10*degree*C"
"146",36,13656.2221820829,"Full closure",9,"Delta*T==8*'-'*10*degree*C"
"147",36,15303.4092330729,"Full closure",10,"Delta*T==8*'-'*10*degree*C"
"148",42,18507.9656762877,"Full closure",8,"Delta*T==8*'-'*10*degree*C"
"149",42,12786.4297467698,"Full closure",9,"Delta*T==8*'-'*10*degree*C"
"150",42,16703.1909672872,"Full closure",10,"Delta*T==8*'-'*10*degree*C"
"151",48,19534.9431064731,"Full closure",8,"Delta*T==8*'-'*10*degree*C"
"152",48,14941.9665689872,"Full closure",9,"Delta*T==8*'-'*10*degree*C"
"153",48,21208.069667462,"Full closure",10,"Delta*T==8*'-'*10*degree*C"
"154",54,19057.3345947067,"Full closure",8,"Delta*T==8*'-'*10*degree*C"
"155",54,15842.3220514843,"Full closure",9,"Delta*T==8*'-'*10*degree*C"
"156",54,15135.4684892173,"Full closure",10,"Delta*T==8*'-'*10*degree*C"
"157",60,20088.7977617984,"Full closure",8,"Delta*T==8*'-'*10*degree*C"
"158",60,14646.377846672,"Full closure",9,"Delta*T==8*'-'*10*degree*C"
"159",60,17068.6802290455,"Full closure",10,"Delta*T==8*'-'*10*degree*C"
"160",66,20887.1971598419,"Full closure",8,"Delta*T==8*'-'*10*degree*C"
"161",66,16845.7969482945,"Full closure",9,"Delta*T==8*'-'*10*degree*C"
"162",66,21868.7344336183,"Full closure",10,"Delta*T==8*'-'*10*degree*C"
"163",72,21858.5852889085,"Full closure",8,"Delta*T==8*'-'*10*degree*C"
"164",72,15566.0523970998,"Full closure",9,"Delta*T==8*'-'*10*degree*C"
"165",72,20386.8559082837,"Full closure",10,"Delta*T==8*'-'*10*degree*C"
"166",78,22625.5006180246,"Full closure",8,"Delta*T==8*'-'*10*degree*C"
"167",78,17555.4511026467,"Full closure",9,"Delta*T==8*'-'*10*degree*C"
"168",78,17864.6888835516,"Full closure",10,"Delta*T==8*'-'*10*degree*C"
"169",84,23618.3157168468,"Full closure",8,"Delta*T==8*'-'*10*degree*C"
"170",84,17407.068567992,"Full closure",9,"Delta*T==8*'-'*10*degree*C"
"171",84,16277.1172111062,"Full closure",10,"Delta*T==8*'-'*10*degree*C"
